county_fips,Time,naics2c,county_export_usd,emp_share,EMP_num,total_emp,tariff_rate_mean,tariff_rate_median,tariff_rate_p90,n_tariff_lines,matched_emp,matched_tariff,matched_all,exposure_component_mean,exposure_component_p90
12086,2025 through June,21,166158608,6.329113924050633e-4,668,1055440,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,21518.54564942212,28920.01088607595
12086,2025 through June,31-33,154495182352,0.03556715682558933,37539,1055440,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,1266256775.1454506,1923234032.8290613
12086,2025 through June,91,786758700,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12086,2025 through June,93,3337162104,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
12086,2025 through June,99,2132163016,1.4306829379216252e-4,151,1055440,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
13051,2023,11,10917768184,7.151029748283753e-5,11,153824,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,202099.15327809958,312293.14027459954
13051,2023,21,5715462904,1.0401497815685458e-4,16,153824,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,121645.05246854677,163485.781006865
13051,2023,31-33,238201975568,0.10721343873517787,16492,153824,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,5885078709.63617,8938458519.955336
13051,2023,91,4175558984,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
13051,2023,93,6846113680,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
13051,2023,99,2042398240,7.801123361764093e-5,12,153824,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
13051,2024,11,8790265092,7.151029748283753e-5,11,153824,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,162716.87603577317,251437.7886727689
13051,2024,21,7041368080,1.0401497815685458e-4,16,153824,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,149864.9547602681,201412.13043478262
13051,2024,31-33,251434165552,0.10721343873517787,16492,153824,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,6211996567.353388,9434992526.518972
13051,2024,91,4026360076,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
13051,2024,93,8155800032,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
13051,2024,99,2372727832,7.801123361764093e-5,12,153824,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
13051,2025 through June,11,6083834984,7.151029748283753e-5,11,153824,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,112618.062430742,174022.73981693364
13051,2025 through June,21,3462087272,1.0401497815685458e-4,16,153824,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,73685.33309146082,99029.95629290618
13051,2025 through June,31-33,128027365780,0.10721343873517787,16492,153824,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,3163076724.3052993,4804188948.118083
13051,2025 through June,91,2234380488,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
13051,2025 through June,93,4811186360,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
13051,2025 through June,99,1161810264,7.801123361764093e-5,12,153824,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
15003,2023,11,127666776,1.2954265417835313e-4,43,331937,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,4281.073880445818,6615.317205373311
15003,2023,21,2163712,4.036910618581237e-4,134,331937,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,178.72929611708665,240.20457857967025
15003,2023,31-33,13870289048,0.022118655045987642,7342,331937,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,70697151.88483897,107377248.5942983
15003,2023,91,314713552,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
15003,2023,93,1376747952,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
15003,2023,99,157832832,1.2653003431374027e-4,42,331937,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA
15003,2024,11,127590376,1.2954265417835313e-4,43,331937,0.2588582677165354,0.25,0.4,762,TRUE,TRUE,TRUE,4278.511944954738,6611.358381861619
15003,2024,21,2497636,4.036910618581237e-4,134,331937,0.2046195652173913,0.25,0.275,92,TRUE,TRUE,TRUE,206.31245019517192,277.27516546814604
15003,2024,31-33,35437339356,0.022118655045987642,7342,331937,0.23043990681101822,0.25,0.35,7297,TRUE,TRUE,TRUE,180624856.06289247,274339199.737038
15003,2024,91,378964284,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA
