county_fips,Time,naics2c,county_export_usd
53033,2023,21,5488408480
53033,2023,31-33,218270469824
53033,2023,91,3030759620
53033,2023,93,786145904
53033,2023,98,25826044
53033,2023,99,1154524684
53033,2024,11,31861732460
53033,2024,21,6918770316
53033,2024,31-33,209671451768
53033,2024,91,3164107284
53033,2024,93,915867792
53033,2024,98,28339932
53033,2024,99,391055812
53033,2025 through June,11,13618796700
53033,2025 through June,21,3543151136
53033,2025 through June,31-33,109448930432
53033,2025 through June,91,1499625296
53033,2025 through June,93,832720592
53033,2025 through June,98,6405428
53033,2025 through June,99,263771184
55079,2023,21,20600
55079,2023,31-33,3198345300
55079,2023,99,81424036
55079,2024,31-33,2252245220
55079,2024,93,828000
55079,2024,99,8196388
55079,2025 through June,11,119060
55079,2025 through June,31-33,829499380
55079,2025 through June,99,17017092
72127,2023,11,86841544
72127,2023,21,47966348
72127,2023,31-33,72185447780
72127,2023,91,670899984
72127,2023,93,75646380
72127,2023,99,4353192
72127,2024,11,58251864
72127,2024,21,39472188
72127,2024,31-33,74564273352
72127,2024,91,597969420
72127,2024,93,44790192
72127,2024,99,4218512
72127,2025 through June,11,32943340
72127,2025 through June,21,15323588
72127,2025 through June,31-33,33725705484
72127,2025 through June,91,317660716
72127,2025 through June,93,15859796
72127,2025 through June,99,527208
78010,2023,11,3700
78010,2023,21,236533333.33333334
78010,2023,31-33,4039685977.3333335
78010,2023,91,3141360
78010,2023,93,252625.33333333334
78010,2024,31-33,3216751700
78010,2024,91,156000
78010,2024,93,584794.6666666666
78010,2025 through June,31-33,1558268997.3333333
78010,2025 through June,93,401733.3333333333
78020,2023,11,3700
78020,2023,21,236533333.33333334
78020,2023,31-33,4039685977.3333335
78020,2023,91,3141360
78020,2023,93,252625.33333333334
78020,2024,31-33,3216751700
78020,2024,91,156000
78020,2024,93,584794.6666666666
78020,2025 through June,31-33,1558268997.3333333
78020,2025 through June,93,401733.3333333333
78030,2023,11,3700
78030,2023,21,236533333.33333334
78030,2023,31-33,4039685977.3333335
78030,2023,91,3141360
78030,2023,93,252625.33333333334
78030,2024,31-33,3216751700
78030,2024,91,156000
78030,2024,93,584794.6666666666
78030,2025 through June,31-33,1558268997.3333333
78030,2025 through June,93,401733.3333333333
