county_fips,naics2c,EMP_num,ESTAB,PAYANN,total_emp,emp_share
01059,21,47,3,2788,11039,0.004257632031886946
01059,23,204,48,9047,11039,0.018479934776700787
01059,31-33,6569,38,290685,11039,0.5950720173928797
01059,42,110,17,4294,11039,0.009964670712926895
01059,44-45,1003,100,28609,11039,0.09085967931877888
01059,48-49,91,24,3953,11039,0.008243500317057704
01059,51,35,9,1779,11039,0.0031705770450221942
01059,52,352,53,19740,11039,0.03188694628136607
01059,53,44,20,1263,11039,0.003985868285170759
01059,54,135,26,6098,11039,0.012229368602228462
01059,55,25,4,2276,11039,0.0022646978893015673
01059,56,332,13,14513,11039,0.03007518796992481
01059,62,904,50,45220,11039,0.08189147567714467
01059,71,16,6,370,11039,0.001449406649153003
01059,72,816,47,12123,11039,0.07391973910680315
01059,81,269,64,8242,11039,0.024368149288884863
01061,23,232,62,9277,4098,0.056612981942410934
01061,31-33,777,23,30532,4098,0.18960468521229867
01061,42,490,16,33776,4098,0.11957052220595413
01061,44-45,831,82,20473,4098,0.2027818448023426
01061,48-49,73,13,2168,4098,0.017813567593948268
01061,51,18,7,658,4098,0.004392386530014641
01061,52,148,30,6833,4098,0.03611517813567594
01061,53,30,13,952,4098,0.007320644216691069
01061,54,104,29,3488,4098,0.02537823328452904
01061,56,171,19,4910,4098,0.04172767203513909
01061,62,593,36,20990,4098,0.14470473401659345
01061,72,382,33,5904,4098,0.09321620302586628
01061,81,147,52,3507,4098,0.03587115666178624
01063,11,23,3,1124,1502,0.015312916111850865
01063,23,96,6,7545,1502,0.06391478029294274
01063,31-33,554,9,24717,1502,0.36884154460719043
01063,42,19,3,1486,1502,0.012649800266311585
01063,44-45,247,21,6244,1502,0.1644474034620506
01063,48-49,13,5,510,1502,0.008655126498002663
01063,52,32,5,1658,1502,0.02130492676431425
01063,54,10,3,268,1502,0.006657789613848202
01063,62,218,9,8783,1502,0.14513981358189082
01063,71,138,5,2865,1502,0.09187749667110519
01063,72,14,4,268,1502,0.009320905459387484
01063,81,110,11,2340,1502,0.07323568575233022
01065,11,77,11,5001,1904,0.04044117647058824
01065,23,203,26,9600,1904,0.10661764705882353
01065,31-33,466,10,37305,1904,0.24474789915966386
01065,42,18,4,1390,1904,0.009453781512605041
01065,44-45,252,40,8195,1904,0.1323529411764706
01065,48-49,39,16,1742,1904,0.020483193277310924
01065,52,63,9,3700,1904,0.03308823529411765
01065,53,5,6,112,1904,0.0026260504201680674
01065,54,66,8,2967,1904,0.03466386554621849
01065,56,12,3,491,1904,0.0063025210084033615
01065,61,48,3,1391,1904,0.025210084033613446
01065,62,408,15,17858,1904,0.21428571428571427
01065,72,178,11,3169,1904,0.0934873949579832
01065,81,39,15,1279,1904,0.020483193277310924
01067,11,143,16,5504,4087,0.03498898947883533
01067,22,1056,5,152214,4087,0.2583802299975532
01067,23,141,29,7337,4087,0.03449963298262784
01067,31-33,281,9,17371,4087,0.06875458771715194
01067,42,152,12,9623,4087,0.03719109371176903
01067,44-45,356,49,9948,4087,0.08710545632493272
01067,48-49,255,21,13679,4087,0.06239295326645461
01067,51,8,3,318,4087,0.0019574259848299485
01067,52,99,18,5470,4087,0.024223146562270613
01067,53,4,4,305,4087,9.787129924149743e-4
01067,54,193,26,11887,4087,0.04722290188402251
01067,55,58,4,28422,4087,0.014191338390017127
01067,56,110,15,5991,4087,0.026914607291411794
01067,61,59,3,1128,4087,0.014436016638120872
